category,name,unit,unit_price_cad_low,unit_price_cad_typical,unit_price_cad_high,source_url,last_verified,notes
hvac,HVAC technician — residential service/installation,per hour,110,145,195,https://ca.indeed.com/career/hvac-technician/salaries/Ontario,2026-05-03,"Indeed Canada April 2026: Ontario HVAC tech average employment wage $34.55/hr; GTA top $38.74/hr. Contractor billing rate to client: Fieldy 2026 guide $85–$150/hr residential (https://getfieldy.com/blogs/hvac-service-cost-pricing); Housecall Pro 2026: $75–$150/hr (https://www.housecallpro.com/resources/how-to-price-hvac-services/). Service call fee: $95–$220 standard diagnostic. Muskoka premium +20–30% over southern Ontario: limited local HVAC contractors, travel, seasonal demand spikes. High end for emergency/after-hours. Prices exclude HST."
roofing,Roofer — asphalt shingle labour only,per square (100 sqft),350,475,650,https://homeguide.com/costs/roofing-labor-cost,2026-05-03,"HomeGuide 2025-2026: shingle roof labour $200–$350 per square US national average; Canadian rates track ~15–30% higher due to WCB/WSIB, higher overhead. D'Angelo and Sons Ontario 2026: total installed $3.50–$5.50/sqft asphalt; labour component $150–$250/sqft (https://dangeloandsons.com/ontario-roof-replacement-cost-roof-type-prices/). Zekes Peaks Ontario roofer: $6–$7/sqft total all-in (materials+labour) for Ontario; implies labour-only ~$3–$4/sqft = $300–$400/square. Muskoka premium +15–25%: steep pitches common on cottage country builds, access logistics. All values per roofing square (100 sqft). Labour only; shingles, underlayment, and tear-off billed separately. Prices exclude HST."
earthworks,Excavator operator — with machine,per hour,130,180,260,https://www.jobbank.gc.ca/marketreport/wages-occupation/15030/geo8792,2026-05-03,"Canada Job Bank Muskoka-Kawarthas excavator operator employment wage: $25.28–$44.83/hr (Nov 2025 data). Billing rate to client (operator + machine) is significantly higher: machine ownership/lease, insurance, mobilization, and overhead add $80–$140/hr on top of operator wage. AllTo Construction Ontario: $100–$160/hr for excavation labour (https://www.alltoconstruction.com/blog/how-much-does-a-septic-system-cost-in-ontario). Island Equipment Owners Association suggested minimum rates (BC-based): Class 3–5 machines $195–$219/hr machine-only (https://www.ieoa.ca/rates/). Muskoka rocky terrain/Canadian Shield: blasting and specialty equipment may add significant costs. Rate shown is operator + machine combined, standard residential-scale (10–20 tonne excavator). Low end reflects backhoe-scale, high end reflects larger machine or difficult rock site. Prices exclude HST."
septic,Septic installer — conventional cottage system lump sum,lump sum,20000,35000,60000,https://bennettinc.ca/blog/septic-installation-cost-ontario-how-much-is-it-to-install-a-septic-system/,2026-05-03,"Bennett Inc. Ontario 2026: conventional gravity system $10,000–$20,000 good-access sites; advanced treatment $25,000–$50,000+; raised bed $20,000–$40,000 (https://bennettinc.ca). M. Riddle Excavating Ontario 2025: average $18,000–$35,000 (https://mriddleexcavating.ca/blog/septic-system-costs-in-ontario/). MyOwnCottage Muskoka 2026 guide: Muskoka septic systems start at $25,000 and rise with bedroom count and terrain (https://myowncottage.ca/cost-to-build-a-cottage-in-muskoka/). Jeffrey Braun Muskoka 2026: septic often starts $25,000+ with rocky terrain (https://www.jeffreybraun.ca/blog/99302/how-much-does-it-cost-to-build-a-cottage-in-muskoka). Low = conventional gravity system, good soil, road access, 3-bedroom cottage. Typical = mixed-difficulty Muskoka lot. High = advanced treatment (tertiary) or raised-bed system, poor soil/rock, boat-access site. Permit ($450), design ($1,000–$3,000), and soil testing ($500–$2,000) included in range. Prices exclude HST."
surcharge,Boat-access cottage premium,% adder on total labour & materials,15,20,25,https://myowncottage.ca/cost-to-build-a-cottage-in-muskoka/,2026-05-03,"MyOwnCottage Muskoka 2026: island/boat-access premium 10%–25% over mainland equivalent. Jeffrey Braun Muskoka 2026: +15%–25% for boat-access builds due to barge transport and shorter working windows (https://www.jeffreybraun.ca/blog/99302/how-much-does-it-cost-to-build-a-cottage-in-muskoka). TechHome Ltd 2025: Muskoka construction 20–40% higher than rural Ontario overall (https://techhomeltd.com/2025/07/how-much-does-it-cost-to-build-a-custom-cottage-in-muskoka/). Add this % to ALL line items for boat-access jobs; barge mobilization, multiple transport runs, and weather delays justify the premium. Higher end (25%) for island sites with no road access at all. Prices exclude HST."
surcharge,Winter / shoulder-season premium (Nov–Mar),% adder on total labour,10,15,20,https://houseremodelcost.com/blog/seasonal-renovation-costs-when-is-the-best-time-to-remodel,2026-05-03,"Industry consensus: winter/off-season discounts of 5–15% are sometimes offered for interior work in slow periods; however in Muskoka the dynamic is reversed — winter ADDS cost due to heating, frozen ground, shorter days, and road-condition delays. House Remodel Cost guide documents 5–15% seasonal variance in either direction (https://houseremodelcost.com/blog/seasonal-renovation-costs-when-is-the-best-time-to-remodel). Muskoka-specific sources note frozen ground, reduced daylight, road-weight restrictions (spring), and limited subcontractor availability in off-season drive costs up, not down. No single published Muskoka-specific percentage found — this range is a professional estimate based on: (a) general seasonal labour premium literature, (b) Muskoka winter construction challenges documented by Ballantyne Builds (https://ballantynebuilds.com/what-does-it-really-cost-to-build-a-cottage-in-muskoka/). Flag as ESTIMATE — needs verification with local Muskoka contractors. Winter discount possible for purely interior, dry, heated work if contractor is hungry for work."
surcharge,Travel surcharge — beyond Bracebridge service area,per km (round trip) OR flat per day,0.75,1.00,1.50,https://www.njc-cnm.gc.ca/directive/travel-voyage/td-dv-a2-eng.php,2026-05-03,"NJC (Government of Canada) kilometric rate for Ontario 2026: $0.62/km for first 4,000km (https://www.njc-cnm.gc.ca/directive/travel-voyage/td-dv-a2-eng.php). CRA mileage allowance is cost-floor; contractors bill higher to cover vehicle, overhead, and time. FieldCamp 2026 guide: contractors charge $0.65–$1.25/mile = $0.40–$0.78/km PLUS time; total effective rate $0.75–$1.50/km round-trip is common (https://fieldcamp.ai/blog/how-to-charge-for-travel-time/). Typical structure: no surcharge within 30km of shop (Bracebridge/Huntsville/Gravenhurst town centres); beyond 30km, per-km charge applies. Remote/boat-access: flat per-day travel charge of $150–$400/day plus equipment barge costs. Per-km rate shown is round-trip. No Muskoka-specific published rate found — estimate based on provincial and industry norms. Prices exclude HST."
permit,Building permit — renovation (Bracebridge),per $1000 construction value,11.30,11.30,11.30,https://radka-hnilicova.c21.ca/files/2025/03/Bracebridge-By-law.pdf,2026-05-03,"Bracebridge By-law 2020-073 Schedule A: Repairs or Renovations = $11.30 per $1,000 of construction value; minimum $250. This is the building permit fee only; separate development charges apply for new construction (not renovations). Permit only; does not include development charges. Example: $100,000 kitchen/bath renovation = $1,130 permit fee. Prices exclude HST."
permit,Building permit — new residential dwelling (Bracebridge),per sqft OR per $1000,11.30,11.30,11.30,https://radka-hnilicova.c21.ca/files/2025/03/Bracebridge-By-law.pdf,2026-05-03,"Bracebridge By-law 2020-073 Schedule A: Dwellings = $11.30 per $1,000 of construction value OR $1.50/sqft of finished floor area — whichever is greater; minimum $310. Development charges additional: $10,389/unit Town + $22,514/unit District = $32,903 combined for urban single-detached (2026) per Bracebridge Development Charges By-law 2024-034 (https://www.bracebridge.ca/town-services/building-services/building-permits/development-charges/). Prices exclude HST."
permit,Building permit — renovation (Township of Muskoka Lakes),per $1000 construction value,11.00,11.00,11.00,https://www.muskokalakes.ca/media/nw3l4j5v/schedule-h.pdf,2026-05-03,"Muskoka Lakes Schedule H (effective March 12 2025): Repairs or Renovations = $11.00 per $1,000 of construction value; minimum $200. New dwelling = $11.00 per $1,000 or $1.55/sqft — whichever greater; minimum $200. Septic permit: $450 new system, $200 new tank. 50% surcharge if construction starts before permit issued. Prices exclude HST."
permit,Building permit — renovation (Gravenhurst),per $1000 construction value,11.25,11.25,11.25,https://gravenhurst-005-ca.govstack.com/media/dljgxphp/building-services-fees-2025.pdf,2026-05-03,"Gravenhurst 2025 User Fees Schedule 1: Building Permit Fee Not Otherwise Covered = $11.25 per $1,000 of construction value; minimum $200. New residential finished floor area = $1.45/sqft. Accessory buildings = $0.75/sqft. Septic system = $450 new install. Prices exclude HST."
permit,Building permit — renovation (Huntsville),per $1000 construction value,11.00,11.00,11.00,https://www.huntsville.ca/business-development-environment/building-and-renovating/building-permits/,2026-05-03,"Town of Huntsville building permits page states: $11.00 per $1,000 of estimated project value of construction, minimum $125. Source: https://www.huntsville.ca/business-development-environment/building-and-renovating/building-permits/. Development charges (new construction only, NOT renovations): single/semi $9,734/unit (2026) per https://www.huntsville.ca/home-property/development-charges/. Note: Huntsville fee schedule PDF not publicly linked on website; fee confirmed from page text. Prices exclude HST."
permit,Building permit — Lake of Bays Township,per $1000 construction value,11.00,11.00,11.00,https://www.lakeofbays.on.ca/municipal-services/applications-licences-and-permits/,2026-05-03,"Lake of Bays building permit fees not explicitly published on main page; fee schedule referenced in Schedule G of Fees and Charges By-law. Based on regional consistency: Muskoka Lakes, Bracebridge, Gravenhurst, and Huntsville all use $11.00–$11.30 per $1,000 construction value formula. Lake of Bays assumed consistent — needs manual confirmation via https://www.lakeofbays.on.ca or direct contact with Township office at 705-635-2272. Minimum fee likely $200. Prices exclude HST. Note: needs manual lookup to confirm exact schedule."
permit,Septic system permit (all Muskoka townships),flat rate,450,450,450,https://www.muskokalakes.ca/media/nw3l4j5v/schedule-h.pdf,2026-05-03,"Muskoka Lakes Schedule H: new sewage system permit $450; new tank only $200. Bracebridge By-law 2020-073: new septic flat rate $450. Gravenhurst 2025: new septic $450. Consistent across surveyed Muskoka townships. Does not include soil testing ($500–$2,000), system design ($1,000–$3,000), or conservation authority review fees. Prices exclude HST."
carpenter,General Carpenter (per hour),hour,,32.00,,https://www.jobbank.gc.ca/marketreport/wages-occupation/6388/geo8792,2026-05-03,Source: Job Bank Canada – Muskoka-Kawarthas Region. Job Bank Canada (Nov 2025 data): Muskoka-Kawarthas carpenter median $32/hr; low $22/hr; high $48/hr. Billing rate to client: add overhead/profit = est. $65–$85/hr billed
carpenter,Lead Carpenter / Site Foreman (per hour),hour,,48.00,,https://www.jobbank.gc.ca/marketreport/wages-occupation/6388/geo8792,2026-05-03,Source: Job Bank Canada – Muskoka-Kawarthas Region. Job Bank Canada high end $48/hr; lead/foreman typically at or above regional median. Billing rate to client: ~$85–$110/hr
carpenter,Apprentice Carpenter (per hour),hour,,22.00,,https://www.jobbank.gc.ca/marketreport/wages-occupation/6388/geo8792,2026-05-03,Source: Job Bank Canada – Muskoka-Kawarthas Region. Job Bank Canada low: $22/hr for Muskoka-Kawarthas. Indeed.com Muskoka Lakes confirms ~$31.68/hr average (all levels). Billing rate: ~$45–$60/hr
plumbing,Licensed Plumber (per hour),hour,,55.00,,https://www.jobbank.gc.ca/marketreport/wages-occupation/14506/geo8792,2026-05-03,Source: Job Bank Canada – Muskoka-Kawarthas Region. Job Bank Canada (Nov 2025): plumbing contractor Muskoka-Kawarthas median $53.43/hr; range $24.20–$65.48. Billing rate to client: ~$110–$160/hr in rural ON. Use $55 wage; $130 billed typical
hvac,HVAC Technician (per hour),hour,,37.00,,https://www.jobbank.gc.ca/marketreport/wages-occupation/7516/ON,2026-05-03,Source: Job Bank Canada – Ontario / Konstruction Group. Job Bank Canada: HVAC mechanic Ontario median $37/hr; range $21–$58/hr (Nov 2025 data). Billing rate to client: ~$80–$120/hr
